atomic_number,symbol,name,atomic_empirical,atomic_calculated,van_der_waals,covalent_single,covalent_triple,metallic
1,H,hydrogen,0.25,0.53,1.2,0.38,,
2,He,helium,1.2,0.31,1.4,0.32,,
3,Li,lithium,1.45,1.67,1.82,1.34,,1.52
4,Be,beryllium,1.05,1.12,1.53,0.9,0.85,1.12
5,B,boron,0.85,0.87,1.92,0.82,0.73,
6,C,carbon,0.7,0.67,1.7,0.77,0.6,
7,N,nitrogen,0.65,0.56,1.55,0.75,0.54,
8,O,oxygen,0.6,0.48,1.52,0.73,0.53,
9,F,fluorine,0.5,0.42,1.47,0.71,0.53,
10,Ne,neon,1.6,0.38,1.54,0.69,,
11,Na,sodium,1.8,1.9,2.27,1.54,,1.86
12,Mg,magnesium,1.5,1.45,1.73,1.3,1.27,1.6
13,Al,aluminium,1.25,1.18,1.84,1.18,1.11,1.43
14,Si,silicon,1.1,1.11,2.1,1.11,1.02,
15,P,phosphorus,1,0.98,1.8,1.06,0.94,
16,S,sulfur,1,0,1.8,1.02,0.95,
17,Cl,chlorine,1,0.79,1.75,0.99,0.93,
18,Ar,argon,0.71,0.71,1.88,0.97,0.96,
19,K,potassium,2.2,2.43,2.75,1.96,,2.27
20,Ca,calcium,1.8,1.94,2.31,1.74,1.33,1.97
21,Sc,scandium,1.6,1.84,2.11,1.44,1.14,1.62
22,Ti,titanium,1.4,1.76,,1.36,1.08,1.47
23,V,vanadium,1.35,1.71,,1.25,1.06,1.34
24,Cr,chromium,1.4,1.66,,1.27,1.03,1.28
25,Mn,manganese,1.4,1.61,,1.39,1.03,1.27
26,Fe,iron,1.4,1.56,,1.25,1.02,1.26
27,Co,cobalt,1.35,1.52,,1.26,0.96,1.25
28,Ni,nickel,1.35,1.49,1.63,1.21,1.01,1.24
29,Cu,copper,1.35,1.45,1.4,1.38,1.2,1.28
30,Zn,zinc,1.35,1.42,1.39,1.31,,1.34
31,Ga,gallium,1.3,1.36,1.87,1.26,1.21,1.35
32,Ge,germanium,1.25,1.25,2.11,1.22,1.14,
33,As,arsenic,1.15,1.14,1.85,1.19,1.06,
34,Se,selenium,1.15,1.03,1.9,1.16,1.07,
35,Br,bromine,1.15,0.94,1.85,1.14,1.1,
36,Kr,krypton,,0.88,2.02,1.1,1.08,
37,Rb,rubidium,2.35,2.65,3.03,2.11,,2.48
38,Sr,strontium,2,2.19,2.49,1.92,1.39,2.15
39,Y,yttrium,1.8,2.12,,1.62,1.24,1.8
40,Zr,zirconium,1.55,2.06,,1.48,1.21,1.6
41,Nb,niobium,1.45,1.98,,1.37,1.16,1.46
42,Mo,molybdenum,1.45,1.9,,1.45,1.13,1.39
43,Tc,technetium,1.35,1.83,,1.56,1.1,1.36
44,Ru,ruthenium,1.3,1.78,,1.26,1.03,1.34
45,Rh,rhodium,1.35,1.73,,1.35,1.06,1.34
46,Pd,palladium,1.4,1.69,1.63,1.31,1.12,1.37
47,Ag,silver,1.6,1.65,1.72,1.53,1.37,1.44
48,Cd,cadmium,1.55,1.61,1.58,1.48,,1.51
49,In,indium,1.55,1.56,1.93,1.44,1.46,1.67
50,Sn,tin,1.45,1.45,2.17,1.41,1.32,
51,Sb,antimony,1.45,1.33,2.06,1.38,1.27,
52,Te,tellurium,1.4,1.23,2.06,1.35,1.21,
53,I,iodine,1.4,1.15,1.98,1.33,1.25,
54,Xe,xenon,,1.08,2.16,1.3,1.22,
55,Cs,caesium,2.6,2.98,3.43,2.25,,2.65
56,Ba,barium,2.15,2.53,2.68,1.98,1.49,2.22
57,La,lanthanum,1.95,1.95,,1.69,1.39,1.87
58,Ce,cerium,1.85,1.58,,,1.31,1.818
59,Pr,praseodymium,1.85,2.47,0.1,0.11,1.28,1.824
60,Nd,neodymium,1.85,2.06,0.2,,1.814,
61,Pm,promethium,1.85,2.05,,,,1.834
62,Sm,samarium,1.85,2.38,,,,1.804
63,Eu,europium,1.85,2.31,,,,1.804
64,Gd,gadolinium,1.8,2.33,,,1.32,1.804
65,Tb,terbium,1.75,2.25,,,,1.773
66,Dy,dysprosium,1.75,2.28,,,,1.781
67,Ho,holmium,1.75,2.26,,,,1.762
68,Er,erbium,1.75,2.26,,,,1.761
69,Tm,thulium,1.75,2.22,,,,1.759
70,Yb,ytterbium,1.75,2.22,,,,1.76
71,Lu,lutetium,1.75,2.17,,1.6,1.31,1.738
72,Hf,hafnium,1.55,2.08,,1.5,1.22,1.59
73,Ta,tantalum,1.45,2,,1.38,1.19,1.46
74,W,tungsten,1.35,1.93,,1.46,1.15,1.39
75,Re,rhenium,1.35,1.88,,1.59,1.1,1.37
76,Os,osmium,1.3,1.85,,1.28,1.09,1.35
77,Ir,iridium,1.35,1.8,,1.37,1.07,1.355
78,Pt,platinum,1.35,1.77,1.75,1.28,1.1,1.385
79,Au,gold,1.35,1.74,1.66,1.44,1.23,1.44
80,Hg,mercury,1.5,1.71,1.55,1.49,,1.51
81,Tl,thallium,1.9,1.56,1.96,1.48,1.5,1.7
82,Pb,lead,1.8,1.54,2.02,1.47,1.37,
83,Bi,bismuth,1.6,1.43,2.07,1.46,1.35,
84,Po,polonium,1.9,1.35,1.97,,1.29,
85,At,astatine,,1.27,2.02,,1.38,
86,Rn,radon,,1.2,2.2,1.45,1.33,
87,Fr,francium,,,3.48,,,
88,Ra,radium,2.15,,2.83,,1.59,
89,Ac,actinium,1.95,,,,1.4,
90,Th,thorium,1.8,,,,1.36,1.79
91,Pa,protactinium,1.8,,,,1.29,1.63
92,U,uranium,1.75,,1.86,,1.18,1.56
93,Np,neptunium,1.75,,,,1.16,1.55
94,Pu,plutonium,1.75,,,,,1.59
95,Am,americium,1.75,,,,,1.73
96,Cm,curium,,,,,,1.74
97,Bk,berkelium,,,,,,1.7
98,Cf,californium,,,,,,1.86
99,Es,einsteinium,,,,,,1.86
100,Fm,fermium,,,,,,
101,Md,mendelevium,,,,,,
102,No,nobelium,,,,,,
103,Lr,lawrencium,,,,,,
104,Rf,rutherfordium,,,,,1.31,
105,Db,dubnium,,,,,1.26,
106,Sg,seaborgium,,,,,1.21,
107,Bh,bohrium,,,,,1.19,
108,Hs,hassium,,,,,1.18,
109,Mt,meitnerium,,,,,1.13,
110,Ds,darmstadtium,,,,,1.12,
111,Rg,roentgenium,,,,,1.18,
112,Cn,copernicium,,,,,1.3,
113,Nh,nihonium,,,,,,
114,Fl,flerovium,,,,,,
115,Mc,moscovium,,,,,,
116,Lv,livermorium,,,,,,
117,Ts,tennessine,,,,,,
118,Og,oganesson,,,,,,
